Nombre del producto,Título de variante de producto,SKU de variante de producto,Día,Artículos netos vendidos,Ventas brutas,Descuentos,Devoluciones,Ventas netas,Impuestos,Ventas totales
prueba1,Default Title,,18/07/24,1,1,0,0,1,0,1
prueba1,Default Title,,30/07/24,1,100,0,0,100,0,100
Manhattan Eau de Parfum,100ml,2002,06/08/24,1,599,-89.85,0,509.15,0,509.15
Tundra Eau de Parfum,100ml,10,06/08/24,1,599,-89.85,0,509.15,0,509.15
Set Descubriendo LeBorêt,3 x 5ml,2,06/08/24,6,595,-74.25,0,520.75,0,520.75
Set LeBorêt No. 1,3 x 100ml,1,06/08/24,4,6396,-959.4,0,5436.6,0,5436.6
Set Descubriendo LeBorêt,3 x 5ml,2,07/08/24,1,99,-14.85,0,84.15,0,84.15
Set LeBorêt No. 1,3 x 100ml,1,07/08/24,1,1599,-239.85,0,1359.15,0,1359.15
Manhattan Eau de Parfum,100ml,2002,08/08/24,1,599,0,0,599,0,599
Manhattan Eau de Parfum,100ml,2002,10/08/24,1,599,-89.85,0,509.15,0,509.15
Manhattan Eau de Parfum,100ml,2002,11/08/24,1,599,-89.85,0,509.15,0,509.15
Tundra Eau de Parfum,100ml,10,11/08/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,12/08/24,2,3198,-399.75,0,2798.25,0,2798.25
Set Descubriendo LeBorêt,3 x 5ml,2,12/08/24,1,129,0,0,129,0,129
Set LeBorêt No. 1,3 x 100ml,1,13/08/24,8,12792,-799.5,0,11992.5,0,11992.5
Set Descubriendo LeBorêt,3 x 5ml,2,13/08/24,2,258,-38.7,0,219.3,0,219.3
Manhattan Eau de Parfum,100ml,2002,13/08/24,3,1797,-269.55,0,1527.45,0,1527.45
Set LeBorêt No. 1,3 x 100ml,1,14/08/24,2,3198,-479.7,0,2718.3,0,2718.3
Manhattan Eau de Parfum,100ml,2002,14/08/24,1,599,-89.85,0,509.15,0,509.15
Sahara Eau de Parfum,100ml,1035,14/08/24,1,599,-89.85,0,509.15,0,509.15
Set Descubriendo LeBorêt,3 x 5ml,2,14/08/24,3,387,-38.7,0,348.3,0,348.3
Sahara Eau de Parfum,100ml,1035,15/08/24,1,599,-59.9,0,539.1,0,539.1
Set LeBorêt No. 1,3 x 100ml,1,15/08/24,1,1599,-239.85,0,1359.15,0,1359.15
Set Descubriendo LeBorêt,3 x 5ml,2,15/08/24,1,129,-19.35,0,109.65,0,109.65
Set LeBorêt No. 1,3 x 100ml,1,16/08/24,1,1599,-239.85,0,1359.15,0,1359.15
Set Descubriendo LeBorêt,3 x 5ml,2,16/08/24,1,129,-12.9,0,116.1,0,116.1
Set Descubriendo LeBorêt,3 x 5ml,2,17/08/24,5,645,-58.05,0,586.95,0,586.95
Set LeBorêt No. 1,3 x 100ml,1,17/08/24,5,7995,-639.6,0,7355.4,0,7355.4
Manhattan Eau de Parfum,100ml,2002,17/08/24,1,599,-59.9,0,539.1,0,539.1
Set Descubriendo LeBorêt,3 x 5ml,2,18/08/24,6,774,-45.15,0,728.85,0,728.85
Set LeBorêt No. 1,3 x 100ml,1,18/08/24,4,6396,-719.55,0,5676.45,0,5676.45
Set Descubriendo LeBorêt,3 x 5ml,2,19/08/24,2,258,0,0,258,0,258
Set LeBorêt No. 1,3 x 100ml,1,19/08/24,5,7995,-1119.3,0,6875.7,0,6875.7
Set Descubriendo LeBorêt,3 x 5ml,2,20/08/24,4,516,-38.7,0,477.3,0,477.3
Set LeBorêt No. 1,3 x 100ml,1,20/08/24,3,4797,-639.6,0,4157.4,0,4157.4
Set Descubriendo LeBorêt,3 x 5ml,2,21/08/24,3,387,-19.35,0,367.65,0,367.65
Set LeBorêt No. 1,3 x 100ml,1,21/08/24,4,6396,-639.6,0,5756.4,0,5756.4
Set Descubriendo LeBorêt,3 x 5ml,2,22/08/24,2,258,-19.35,0,238.65,0,238.65
Set LeBorêt No. 1,3 x 100ml,1,22/08/24,2,3198,-479.7,0,2718.3,0,2718.3
Set Descubriendo LeBorêt,3 x 5ml,2,23/08/24,5,645,-32.25,0,612.75,0,612.75
Manhattan Eau de Parfum,100ml,2002,23/08/24,1,599,-89.85,0,509.15,0,509.15
Manhattan Eau de Parfum,100ml,2002,24/08/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,24/08/24,3,4797,-399.75,0,4397.25,0,4397.25
Set LeBorêt No. 1,3 x 100ml,1,25/08/24,6,9594,-1039.35,0,8554.65,0,8554.65
Set Descubriendo LeBorêt,3 x 5ml,2,25/08/24,3,387,-38.7,0,348.3,0,348.3
Manhattan Eau de Parfum,100ml,2002,25/08/24,4,2396,-359.4,0,2036.6,0,2036.6
Tundra Eau de Parfum,100ml,10,25/08/24,1,599,-89.85,0,509.15,0,509.15
Manhattan Eau de Parfum,100ml,2002,26/08/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,26/08/24,2,3198,-239.85,0,2958.15,0,2958.15
Sahara Eau de Parfum,100ml,1035,26/08/24,1,599,-89.85,0,509.15,0,509.15
Set Descubriendo LeBorêt,3 x 5ml,2,26/08/24,2,258,-19.35,0,238.65,0,238.65
Set LeBorêt No. 1,3 x 100ml,1,27/08/24,5,7995,-1119.3,0,6875.7,0,6875.7
Set Descubriendo LeBorêt,3 x 5ml,2,27/08/24,2,258,-38.7,0,219.3,0,219.3
Set LeBorêt No. 1,3 x 100ml,1,28/08/24,8,12792,-1758.9,0,11033.1,0,11033.1
Manhattan Eau de Parfum,100ml,2002,28/08/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,29/08/24,4,6396,-879.45,0,5516.55,0,5516.55
Set Descubriendo LeBorêt,3 x 5ml,2,29/08/24,3,387,-45.15,0,341.85,0,341.85
Sahara Eau de Parfum,100ml,1035,30/08/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,30/08/24,14,22386,-2318.55,0,20067.45,0,20067.45
Set Descubriendo LeBorêt,3 x 5ml,2,30/08/24,2,258,-12.9,0,245.1,0,245.1
Set LeBorêt No. 1,3 x 100ml,1,31/08/24,5,7995,-959.4,0,7035.6,0,7035.6
Set Descubriendo LeBorêt,3 x 5ml,2,31/08/24,2,258,-38.7,0,219.3,0,219.3
Manhattan Eau de Parfum,100ml,2002,31/08/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,01/09/24,1,1599,-159.9,0,1439.1,0,1439.1
Manhattan Eau de Parfum,100ml,2002,01/09/24,2,1198,-119.8,0,1078.2,0,1078.2
Set Descubriendo LeBorêt,3 x 5ml,2,01/09/24,1,258,-12.9,-129,116.1,0,116.1
Tundra Eau de Parfum,100ml,10,02/09/24,1,599,0,0,599,0,599
Set LeBorêt No. 1,3 x 100ml,1,02/09/24,3,4797,-159.9,0,4637.1,0,4637.1
Set Descubriendo LeBorêt,3 x 5ml,2,03/09/24,4,516,-25.8,0,490.2,0,490.2
Set LeBorêt No. 1,3 x 100ml,1,03/09/24,3,4797,0,0,4797,0,4797
Set LeBorêt No. 1,3 x 100ml,1,04/09/24,6,9594,-639.6,0,8954.4,0,8954.4
Manhattan Eau de Parfum,100ml,2002,05/09/24,1,599,0,0,599,0,599
Set Descubriendo LeBorêt,3 x 5ml,2,06/09/24,1,129,0,0,129,0,129
Manhattan Eau de Parfum,100ml,2002,06/09/24,1,599,-59.9,0,539.1,0,539.1
Set LeBorêt No. 1,3 x 100ml,1,06/09/24,2,3198,-319.8,0,2878.2,0,2878.2
Set LeBorêt No. 1,3 x 100ml,1,07/09/24,3,4797,-159.9,0,4637.1,0,4637.1
Set Descubriendo LeBorêt,3 x 5ml,2,08/09/24,3,387,-12.9,0,374.1,0,374.1
Set LeBorêt No. 1,3 x 100ml,1,08/09/24,4,6396,-319.8,0,6076.2,0,6076.2
Set Descubriendo LeBorêt,3 x 5ml,2,09/09/24,2,258,-12.9,0,245.1,0,245.1
Set LeBorêt No. 1,3 x 100ml,1,09/09/24,4,6396,-479.7,0,5916.3,0,5916.3
Sahara Eau de Parfum,100ml,1035,10/09/24,3,1797,-179.7,0,1617.3,0,1617.3
Set LeBorêt No. 1,3 x 100ml,1,10/09/24,2,3198,0,0,3198,0,3198
Manhattan Eau de Parfum,100ml,2002,10/09/24,1,599,-59.9,0,539.1,0,539.1
Set LeBorêt No. 1,3 x 100ml,1,11/09/24,1,1599,-159.9,0,1439.1,0,1439.1
Manhattan Eau de Parfum,100ml,2002,11/09/24,1,599,-89.85,0,509.15,0,509.15
Set Descubriendo LeBorêt,3 x 5ml,2,11/09/24,1,129,-12.9,0,116.1,0,116.1
Manhattan Eau de Parfum,100ml,2002,12/09/24,2,1198,-179.7,0,1018.3,0,1018.3
Set Descubriendo LeBorêt,3 x 5ml,2,12/09/24,1,129,0,0,129,0,129
Set LeBorêt No. 1,3 x 100ml,1,13/09/24,3,4797,-751.53,0,4045.47,0,4045.47
Manhattan Eau de Parfum,100ml,2002,14/09/24,1,599,-59.9,0,539.1,0,539.1
Set LeBorêt No. 1,3 x 100ml,1,14/09/24,1,1599,-159.9,0,1439.1,0,1439.1
Set LeBorêt No. 1,3 x 100ml,1,15/09/24,4,6396,-815.49,0,5580.51,0,5580.51
Manhattan Eau de Parfum,100ml,2002,15/09/24,1,599,0,0,599,0,599
Set Descubriendo LeBorêt,3 x 5ml,2,15/09/24,2,258,-12.9,0,245.1,0,245.1
Set LeBorêt No. 1,3 x 100ml,1,16/09/24,8,12792,-1567.02,0,11224.98,0,11224.98
Set Descubriendo LeBorêt,3 x 5ml,2,16/09/24,2,258,0,0,258,0,258
Manhattan Eau de Parfum,100ml,2002,16/09/24,1,599,0,0,599,0,599
Set LeBorêt No. 1,3 x 100ml,1,17/09/24,1,1599,0,0,1599,0,1599
Set Descubriendo LeBorêt,3 x 5ml,2,17/09/24,1,129,0,0,129,0,129
Set LeBorêt No. 1,3 x 100ml,1,18/09/24,3,4797,-511.68,0,4285.32,0,4285.32
Set Descubriendo LeBorêt,3 x 5ml,2,19/09/24,1,129,0,0,129,0,129
Set LeBorêt No. 1,3 x 100ml,1,19/09/24,5,7995,-815.49,0,7179.51,0,7179.51
Set Descubriendo LeBorêt,3 x 5ml,2,20/09/24,3,387,-45.15,0,341.85,0,341.85
Set LeBorêt No. 1,3 x 100ml,1,20/09/24,2,3198,-255.84,0,2942.16,0,2942.16
Manhattan Eau de Parfum,100ml,2002,20/09/24,2,1198,-119.8,0,1078.2,0,1078.2
Set Descubriendo LeBorêt,3 x 5ml,2,21/09/24,2,258,-32.25,0,225.75,0,225.75
Set Descubriendo LeBorêt,3 x 5ml,2,22/09/24,2,258,-38.7,0,219.3,0,219.3
Set LeBorêt No. 1,3 x 100ml,1,22/09/24,5,7995,-1167.27,0,6827.73,0,6827.73
Manhattan Eau de Parfum,100ml,2002,22/09/24,2,1198,-149.75,0,1048.25,0,1048.25
Set LeBorêt No. 1,3 x 100ml,1,23/09/24,4,6396,-735.54,0,5660.46,0,5660.46
Set Descubriendo LeBorêt,3 x 5ml,2,24/09/24,1,199,-29.85,0,169.15,0,169.15
Manhattan Eau de Parfum,100ml,2002,24/09/24,1,599,-59.9,0,539.1,0,539.1
Set LeBorêt No. 1,3 x 100ml,1,24/09/24,2,3198,-159.9,0,3038.1,0,3038.1
Set LeBorêt No. 1,3 x 100ml,1,25/09/24,1,1599,0,0,1599,0,1599
Set LeBorêt No. 1,3 x 100ml,1,26/09/24,4,6396,-735.54,0,5660.46,0,5660.46
Set LeBorêt No. 1,3 x 100ml,1,27/09/24,3,4797,-319.8,0,4477.2,0,4477.2
Set Descubriendo LeBorêt,3 x 5ml,2,27/09/24,1,199,0,0,199,0,199
Sahara Eau de Parfum,100ml,1035,28/09/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,28/09/24,8,12792,-959.4,0,11832.6,0,11832.6
Set Descubriendo LeBorêt,3 x 5ml,2,28/09/24,3,597,-59.7,0,537.3,0,537.3
Manhattan Eau de Parfum,100ml,2002,28/09/24,5,2995,-449.25,0,2545.75,0,2545.75
Tundra Eau de Parfum,100ml,10,28/09/24,2,1198,-179.7,0,1018.3,0,1018.3
Sahara Eau de Parfum,100ml,1035,29/09/24,1,599,0,0,599,0,599
Set LeBorêt No. 1,3 x 100ml,1,29/09/24,5,7995,-479.7,0,7515.3,0,7515.3
Manhattan Eau de Parfum,100ml,2002,29/09/24,2,1198,-149.75,0,1048.25,0,1048.25
Set Descubriendo LeBorêt,3 x 5ml,2,29/09/24,8,1592,-199,0,1393,0,1393
Set LeBorêt No. 1,3 x 100ml,1,30/09/24,3,4797,-399.75,0,4397.25,0,4397.25
Tundra Eau de Parfum,100ml,10,30/09/24,1,599,-89.85,0,509.15,0,509.15
Set Descubriendo LeBorêt,3 x 5ml,2,30/09/24,3,597,-29.85,0,567.15,0,567.15
Sahara Eau de Parfum,100ml,1035,01/10/24,1,599,0,0,599,0,599
Set LeBorêt No. 1,3 x 100ml,1,01/10/24,8,12792,-1551.03,0,11240.97,0,11240.97
Manhattan Eau de Parfum,100ml,2002,01/10/24,-1,599,-59.9,-1018.3,-479.2,0,-479.2
Tundra Eau de Parfum,100ml,10,01/10/24,-1,0,0,-509.15,-509.15,0,-509.15
Set Descubriendo LeBorêt,3 x 5ml,2,01/10/24,2,398,-59.7,0,338.3,0,338.3
Set LeBorêt No. 1,3 x 100ml,1,02/10/24,10,15990,-1758.9,0,14231.1,0,14231.1
Manhattan Eau de Parfum,100ml,2002,02/10/24,1,599,-59.9,0,539.1,0,539.1
Set LeBorêt No. 1,3 x 100ml,1,03/10/24,7,11193,-1599,0,9594,0,9594
Tundra Eau de Parfum,100ml,10,03/10/24,2,1198,0,0,1198,0,1198
Set LeBorêt No. 1,3 x 100ml,1,04/10/24,4,7995,-959.4,-1599,5436.6,0,5436.6
Sahara Eau de Parfum,100ml,1035,04/10/24,-1,0,0,-599,-599,0,-599
Set Descubriendo LeBorêt,3 x 5ml,2,04/10/24,2,398,0,0,398,0,398
Set LeBorêt No. 1,3 x 100ml,1,05/10/24,4,6396,-719.55,0,5676.45,0,5676.45
Set Descubriendo LeBorêt,3 x 5ml,2,05/10/24,2,398,-29.85,0,368.15,0,368.15
Manhattan Eau de Parfum,100ml,2002,06/10/24,2,1198,-149.75,0,1048.25,0,1048.25
Set LeBorêt No. 1,3 x 100ml,1,06/10/24,7,11193,-959.4,0,10233.6,0,10233.6
Tundra Eau de Parfum,100ml,10,06/10/24,1,599,-89.85,0,509.15,0,509.15
Set Descubriendo LeBorêt,3 x 5ml,2,06/10/24,3,597,-19.9,0,577.1,0,577.1
Set LeBorêt No. 1,3 x 100ml,1,07/10/24,5,7995,-479.7,0,7515.3,0,7515.3
Set Descubriendo LeBorêt,3 x 5ml,2,07/10/24,2,398,-39.8,0,358.2,0,358.2
Sahara Eau de Parfum,100ml,1035,08/10/24,1,599,-59.9,0,539.1,0,539.1
Set LeBorêt No. 1,3 x 100ml,1,08/10/24,3,6396,-639.6,-1359.15,4397.25,0,4397.25
Set Descubriendo LeBorêt,3 x 5ml,2,08/10/24,2,398,-59.7,0,338.3,0,338.3
Tundra Eau de Parfum,100ml,10,08/10/24,1,599,-59.9,0,539.1,0,539.1
Set LeBorêt No. 1,3 x 100ml,1,09/10/24,3,4797,-479.7,0,4317.3,0,4317.3
Manhattan Eau de Parfum,100ml,2002,09/10/24,2,1198,-149.75,0,1048.25,0,1048.25
Set LeBorêt No. 1,3 x 100ml,1,10/10/24,5,7995,-1119.3,0,6875.7,0,6875.7
Set Descubriendo LeBorêt,3 x 5ml,2,10/10/24,2,398,-49.75,0,348.25,0,348.25
Set LeBorêt No. 1,3 x 100ml,1,11/10/24,2,4797,-399.75,-1359.15,3038.1,0,3038.1
Manhattan Eau de Parfum,100ml,2002,11/10/24,1,599,0,0,599,0,599
Set Descubriendo LeBorêt,3 x 5ml,2,11/10/24,3,597,-59.7,0,537.3,0,537.3
Set Descubriendo LeBorêt,3 x 5ml,2,12/10/24,1,199,0,0,199,0,199
Set LeBorêt No. 1,3 x 100ml,1,12/10/24,3,4797,-479.7,0,4317.3,0,4317.3
Manhattan Eau de Parfum,100ml,2002,12/10/24,1,599,-89.85,0,509.15,0,509.15
Set Descubriendo LeBorêt,3 x 5ml,2,13/10/24,-1,0,0,-179.1,-179.1,0,-179.1
Set LeBorêt No. 1,3 x 100ml,1,13/10/24,7,11193,-1439.1,0,9753.9,0,9753.9
Manhattan Eau de Parfum,100ml,2002,14/10/24,0,599,-89.85,-539.1,-29.95,0,-29.95
Set LeBorêt No. 1,3 x 100ml,1,14/10/24,5,9594,-1039.35,-1359.15,7195.5,0,7195.5
Set Descubriendo LeBorêt,3 x 5ml,2,15/10/24,4,796,-59.7,0,736.3,0,736.3
Set LeBorêt No. 1,3 x 100ml,1,15/10/24,5,9594,-1039.35,-1439.1,7115.55,0,7115.55
Manhattan Eau de Parfum,100ml,2002,15/10/24,1,599,0,0,599,0,599
Manhattan Eau de Parfum,100ml,2002,16/10/24,3,1797,-179.7,0,1617.3,0,1617.3
Set Descubriendo LeBorêt,3 x 5ml,2,16/10/24,1,199,0,0,199,0,199
Set LeBorêt No. 1,3 x 100ml,1,16/10/24,6,9594,-799.5,0,8794.5,0,8794.5
Set Descubriendo LeBorêt,3 x 5ml,2,17/10/24,1,199,0,0,199,0,199
Set LeBorêt No. 1,3 x 100ml,1,17/10/24,5,7995,-799.5,0,7195.5,0,7195.5
Set Descubriendo LeBorêt,3 x 5ml,2,18/10/24,2,398,-29.85,0,368.15,0,368.15
Manhattan Eau de Parfum,100ml,2002,18/10/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,18/10/24,7,11193,-1119.3,0,10073.7,0,10073.7
Set Descubriendo LeBorêt,3 x 5ml,2,19/10/24,1,199,0,0,199,0,199
Set LeBorêt No. 1,3 x 100ml,1,19/10/24,2,3198,-399.75,0,2798.25,0,2798.25
Manhattan Eau de Parfum,100ml,2002,20/10/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,20/10/24,5,7995,-1119.3,0,6875.7,0,6875.7
Set Descubriendo LeBorêt,3 x 5ml,2,20/10/24,4,796,-59.7,0,736.3,0,736.3
Sahara Eau de Parfum,100ml,1035,21/10/24,1,599,-59.9,0,539.1,0,539.1
Set LeBorêt No. 1,3 x 100ml,1,21/10/24,2,3198,-479.7,0,2718.3,0,2718.3
Set Descubriendo LeBorêt,3 x 5ml,2,21/10/24,1,199,-29.85,0,169.15,0,169.15
Set LeBorêt No. 1,3 x 100ml,1,22/10/24,5,7995,-639.6,0,7355.4,0,7355.4
Set Descubriendo LeBorêt,3 x 5ml,2,22/10/24,1,199,-29.85,0,169.15,0,169.15
Manhattan Eau de Parfum,100ml,2002,23/10/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,23/10/24,4,6396,-399.75,0,5996.25,0,5996.25
Set LeBorêt No. 1,3 x 100ml,1,24/10/24,6,9594,-1039.35,0,8554.65,0,8554.65
Manhattan Eau de Parfum,100ml,2002,24/10/24,1,599,-59.9,0,539.1,0,539.1
Set Descubriendo LeBorêt,3 x 5ml,2,24/10/24,1,199,0,0,199,0,199
Set LeBorêt No. 1,3 x 100ml,1,25/10/24,1,4797,-479.7,-2798.25,1519.05,0,1519.05
Manhattan Eau de Parfum,100ml,2002,25/10/24,-2,0,0,-1108.15,-1108.15,0,-1108.15
Set Descubriendo LeBorêt,3 x 5ml,2,25/10/24,-1,0,0,-179.1,-179.1,0,-179.1
Set LeBorêt No. 1,3 x 100ml,1,26/10/24,2,3198,0,0,3198,0,3198
Set LeBorêt No. 1,3 x 100ml,1,28/10/24,1,1599,-239.85,0,1359.15,0,1359.15
Set LeBorêt No. 1,3 x 100ml,1,30/10/24,-1,0,0,-1439.1,-1439.1,0,-1439.1
Set Descubriendo LeBorêt,3 x 5ml,2,31/10/24,0,398,-59.7,-358.2,-19.9,0,-19.9
Set LeBorêt No. 1,3 x 100ml,1,31/10/24,1,1599,-239.85,0,1359.15,0,1359.15
Manhattan Eau de Parfum,100ml,2002,01/11/24,1,699,-69.9,0,629.1,0,629.1
Set LeBorêt No. 1,3 x 100ml,1,02/11/24,1,1599,-239.85,0,1359.15,0,1359.15
Set LeBorêt No. 1,3 x 100ml,1,03/11/24,1,3198,-479.7,-1599,1119.3,0,1119.3
Sahara Eau de Parfum,100ml,1035,03/11/24,-1,0,0,-539.1,-539.1,0,-539.1
Manhattan Eau de Parfum,100ml,2002,04/11/24,1,699,-104.85,0,594.15,0,594.15
Set LeBorêt No. 1,3 x 100ml,1,04/11/24,2,3198,-399.75,0,2798.25,0,2798.25
Set Descubriendo LeBorêt,3 x 5ml,2,06/11/24,1,199,-29.85,0,169.15,0,169.15
Set LeBorêt No. 1,3 x 100ml,1,07/11/24,1,1599,-239.85,0,1359.15,0,1359.15
Set LeBorêt No. 1,3 x 100ml,1,08/11/24,1,1599,-239.85,0,1359.15,0,1359.15
Set Descubriendo LeBorêt,3 x 5ml,2,08/11/24,1,199,-29.85,0,169.15,0,169.15
Set LeBorêt No. 1,3 x 100ml,1,09/11/24,4,6396,-399.75,0,5996.25,0,5996.25
Set Descubriendo LeBorêt,3 x 5ml,2,09/11/24,3,597,0,0,597,0,597
Manhattan Eau de Parfum,100ml,2002,10/11/24,1,699,0,0,699,0,699
Set Descubriendo LeBorêt,3 x 5ml,2,10/11/24,1,199,0,0,199,0,199
Set LeBorêt No. 1,3 x 100ml,1,11/11/24,3,4797,-479.7,0,4317.3,0,4317.3
Set LeBorêt No. 1,3 x 100ml,1,12/11/24,2,3198,-159.9,0,3038.1,0,3038.1
