Nombre del producto,Título de variante de producto,SKU de variante de producto,Día,Artículos netos vendidos,Ventas brutas,Descuentos,Devoluciones,Ventas netas,Impuestos,Ventas totales
Set Descubriendo LeBorêt,3 x 5ml,2,12/11/24,0,199,0,-169.15,29.85,0,29.85
Set Descubriendo LeBorêt,3 x 5ml,2,13/11/24,2,398,-49.75,0,348.25,0,348.25
Set LeBorêt No. 1,3 x 100ml,1,13/11/24,4,6396,-639.6,0,5756.4,0,5756.4
Set Descubriendo LeBorêt,3 x 5ml,2,14/11/24,2,398,-29.85,0,368.15,0,368.15
Set LeBorêt No. 1,3 x 100ml,1,14/11/24,2,2998,-239.85,0,2758.15,0,2758.15
Set LeBorêt No. 1,3 x 100ml,1,15/11/24,8,11192,-139.9,0,11052.1,0,11052.1
Manhattan Eau de Parfum,100ml,2002,16/11/24,1,699,-104.85,0,594.15,0,594.15
Set Descubriendo LeBorêt,3 x 5ml,2,16/11/24,1,199,0,0,199,0,199
Set LeBorêt No. 1,3 x 100ml,1,16/11/24,5,6995,-279.8,0,6715.2,0,6715.2
Set Descubriendo LeBorêt,3 x 5ml,2,17/11/24,3,597,-59.7,0,537.3,0,537.3
Set LeBorêt No. 1,3 x 100ml,1,17/11/24,9,12591,-279.8,0,12311.2,0,12311.2
Manhattan Eau de Parfum,100ml,2002,18/11/24,1,699,-104.85,0,594.15,0,594.15
Tundra Eau de Parfum,100ml,10,18/11/24,1,699,-104.85,0,594.15,0,594.15
Set LeBorêt No. 1,3 x 100ml,1,18/11/24,9,13990,0,-1399,12591,0,12591
Set LeBorêt No. 1,3 x 100ml,1,19/11/24,2,2998,-159.9,0,2838.1,0,2838.1
Set LeBorêt No. 1,3 x 100ml,1,20/11/24,1,1599,-239.85,0,1359.15,0,1359.15
Set LeBorêt No. 1,3 x 100ml,1,21/11/24,2,3198,-239.85,0,2958.15,0,2958.15
Set Descubriendo LeBorêt,3 x 5ml,2,21/11/24,1,199,0,0,199,0,199
Set LeBorêt No. 1,3 x 100ml,1,22/11/24,2,3198,-239.85,0,2958.15,0,2958.15
Set LeBorêt No. 1,3 x 100ml,1,23/11/24,3,4797,-399.75,0,4397.25,0,4397.25
Set LeBorêt No. 1,3 x 100ml,1,24/11/24,5,7995,-1119.3,0,6875.7,0,6875.7
Set LeBorêt No. 1,3 x 100ml,1,25/11/24,2,3198,-479.7,0,2718.3,0,2718.3
Set Descubriendo LeBorêt,3 x 5ml,2,25/11/24,1,199,-29.85,0,169.15,0,169.15
Set LeBorêt No. 1,3 x 100ml,1,26/11/24,2,4797,-719.55,-1599,2478.45,0,2478.45
Manhattan Eau de Parfum,100ml,2002,26/11/24,1,699,-69.9,0,629.1,0,629.1
Set Descubriendo LeBorêt,3 x 5ml,2,26/11/24,2,398,-19.9,0,378.1,0,378.1
Set LeBorêt No. 1,3 x 100ml,1,27/11/24,9,14391,-1599,0,12792,0,12792
Set Descubriendo LeBorêt,3 x 5ml,2,27/11/24,1,199,-29.85,0,169.15,0,169.15
Set LeBorêt No. 1,3 x 100ml,1,28/11/24,4,6396,-719.55,0,5676.45,0,5676.45
Set LeBorêt No. 1,3 x 100ml,1,29/11/24,4,6396,-959.4,0,5436.6,0,5436.6
Manhattan Eau de Parfum,100ml,2002,30/11/24,1,699,-104.85,0,594.15,0,594.15
Set LeBorêt No. 1,3 x 100ml,1,30/11/24,1,1599,-239.85,0,1359.15,0,1359.15
Set LeBorêt No. 1,3 x 100ml,1,01/12/24,8,12792,-1599,0,11193,0,11193
Set LeBorêt No. 1,3 x 100ml,1,02/12/24,3,4797,-479.7,0,4317.3,0,4317.3
Manhattan Eau de Parfum,100ml,2002,03/12/24,1,699,-104.85,0,594.15,0,594.15
Set LeBorêt No. 1,3 x 100ml,1,03/12/24,3,4797,-639.6,0,4157.4,0,4157.4
Set LeBorêt No. 1,3 x 100ml,1,04/12/24,2,3198,-239.85,0,2958.15,0,2958.15
Set LeBorêt No. 1,3 x 100ml,1,05/12/24,2,3198,-399.75,0,2798.25,0,2798.25
Manhattan Eau de Parfum,100ml,2002,06/12/24,2,1398,-209.7,0,1188.3,0,1188.3
Set LeBorêt No. 1,3 x 100ml,1,06/12/24,4,6396,-879.45,0,5516.55,0,5516.55
Sahara Eau de Parfum,100ml,1035,06/12/24,1,699,-104.85,0,594.15,0,594.15
Set LeBorêt No. 1,3 x 100ml,1,07/12/24,3,4797,-719.55,0,4077.45,0,4077.45
Set Descubriendo LeBorêt,3 x 5ml,2,08/12/24,4,796,-59.7,0,736.3,0,736.3
Set LeBorêt No. 1,3 x 100ml,1,08/12/24,7,11193,-1199.25,0,9993.75,0,9993.75
Manhattan Eau de Parfum,100ml,2002,08/12/24,2,1398,-174.75,0,1223.25,0,1223.25
Set LeBorêt No. 1,3 x 100ml,1,09/12/24,9,14391,-1599,0,12792,0,12792
Set Descubriendo LeBorêt,3 x 5ml,2,10/12/24,1,199,-29.85,0,169.15,0,169.15
Set LeBorêt No. 1,3 x 100ml,1,10/12/24,11,17589,-1359.15,0,16229.85,0,16229.85
Set Descubriendo LeBorêt,3 x 5ml,2,11/12/24,2,398,0,0,398,0,398
Manhattan Eau de Parfum,100ml,2002,11/12/24,1,699,-104.85,0,594.15,0,594.15
Set LeBorêt No. 1,3 x 100ml,1,11/12/24,3,4797,-479.7,0,4317.3,0,4317.3
Set LeBorêt No. 1,3 x 100ml,1,12/12/24,14,22386,-2718.3,0,19667.7,0,19667.7
Manhattan Eau de Parfum,100ml,2002,13/12/24,2,1398,-174.75,0,1223.25,0,1223.25
Set Descubriendo LeBorêt,3 x 5ml,2,13/12/24,1,199,-29.85,0,169.15,0,169.15
Set LeBorêt No. 1,3 x 100ml,1,13/12/24,9,14391,-1758.9,0,12632.1,0,12632.1
Set Descubriendo LeBorêt,3 x 5ml,2,14/12/24,3,597,-49.75,0,547.25,0,547.25
Manhattan Eau de Parfum,100ml,2002,14/12/24,1,699,0,0,699,0,699
Set LeBorêt No. 1,3 x 100ml,1,14/12/24,10,15990,-1599,0,14391,0,14391
Manhattan Eau de Parfum,100ml,2002,15/12/24,1,699,-104.85,0,594.15,0,594.15
Set LeBorêt No. 1,3 x 100ml,1,15/12/24,6,9594,-959.4,0,8634.6,0,8634.6
Set Descubriendo LeBorêt,3 x 5ml,2,15/12/24,1,199,-29.85,0,169.15,0,169.15
Set LeBorêt No. 1,3 x 100ml,1,16/12/24,10,15990,-1918.8,0,14071.2,0,14071.2
Manhattan Eau de Parfum,100ml,2002,16/12/24,1,699,0,0,699,0,699
Set LeBorêt No. 1,3 x 100ml,1,17/12/24,5,7995,-879.45,0,7115.55,0,7115.55
Manhattan Eau de Parfum,100ml,2002,17/12/24,2,1398,-209.7,0,1188.3,0,1188.3
Set LeBorêt No. 1,3 x 100ml,1,18/12/24,4,6396,-479.7,0,5916.3,0,5916.3
Set LeBorêt No. 1,3 x 100ml,1,19/12/24,4,6396,-959.4,0,5436.6,0,5436.6
Set LeBorêt No. 1,3 x 100ml,1,20/12/24,6,9594,-1199.25,0,8394.75,0,8394.75
Manhattan Eau de Parfum,100ml,2002,20/12/24,1,699,-69.9,0,629.1,0,629.1
Set LeBorêt No. 1,3 x 100ml,1,21/12/24,10,15990,-2238.6,0,13751.4,0,13751.4
Set LeBorêt No. 1,3 x 100ml,1,22/12/24,7,11193,-1359.15,0,9833.85,0,9833.85
Tundra Eau de Parfum,100ml,10,22/12/24,1,699,-104.85,0,594.15,0,594.15
Manhattan Eau de Parfum,100ml,2002,22/12/24,1,699,-69.9,0,629.1,0,629.1
Set Descubriendo LeBorêt,3 x 5ml,2,22/12/24,1,199,-29.85,0,169.15,0,169.15
Set Descubriendo LeBorêt,3 x 5ml,2,23/12/24,1,199,-29.85,0,169.15,0,169.15
Set LeBorêt No. 1,3 x 100ml,1,23/12/24,3,4797,-719.55,0,4077.45,0,4077.45
Manhattan Eau de Parfum,100ml,2002,24/12/24,1,699,0,0,699,0,699
Set LeBorêt No. 1,3 x 100ml,1,24/12/24,1,1599,-239.85,0,1359.15,0,1359.15
Set Descubriendo LeBorêt,3 x 5ml,2,25/12/24,1,199,0,0,199,0,199
Manhattan Eau de Parfum,100ml,2002,25/12/24,1,699,-104.85,0,594.15,0,594.15
Set LeBorêt No. 1,3 x 100ml,1,25/12/24,3,4797,-639.6,0,4157.4,0,4157.4
Set Descubriendo LeBorêt,3 x 5ml,2,26/12/24,2,398,0,0,398,0,398
Set LeBorêt No. 1,3 x 100ml,1,26/12/24,8,12792,-1199.25,0,11592.75,0,11592.75
Set LeBorêt No. 1,3 x 100ml,1,27/12/24,2,3198,-319.8,0,2878.2,0,2878.2
Sahara Eau de Parfum,100ml,1035,31/12/24,1,699,-104.85,0,594.15,0,594.15
Tundra Eau de Parfum,100ml,10,31/12/24,1,699,-104.85,0,594.15,0,594.15
Tundra Eau de Parfum,100ml,10,02/01/25,1,699,-104.85,0,594.15,0,594.15
Tundra Eau de Parfum,100ml,10,03/01/25,1,699,-69.9,0,629.1,0,629.1
Set Descubriendo LeBorêt,3 x 5ml,2,03/01/25,1,199,-29.85,0,169.15,0,169.15
Set Descubriendo LeBorêt,3 x 5ml,2,08/01/25,1,199,-29.85,0,169.15,0,169.15
Set Descubriendo LeBorêt,3 x 5ml,2,09/01/25,1,199,0,0,199,0,199
Set Descubriendo LeBorêt,3 x 5ml,2,11/01/25,1,199,0,0,199,0,199
Set Descubriendo LeBorêt,3 x 5ml,2,21/01/25,1,199,-29.85,0,169.15,0,169.15
Tundra Eau de Parfum,100ml,10,25/01/25,1,699,0,0,699,0,699
Set Descubriendo LeBorêt,3 x 5ml,2,02/02/25,1,199,-19.9,0,179.1,0,179.1
Tundra Eau de Parfum,100ml,10,05/02/25,1,699,0,0,699,0,699
Set Descubriendo LeBorêt,3 x 5ml,2,06/02/25,1,199,0,0,199,0,199
Tundra Eau de Parfum,100ml,10,10/02/25,1,699,-69.9,0,629.1,0,629.1
Set Descubriendo LeBorêt,3 x 5ml,2,10/02/25,2,398,0,0,398,0,398
Set Descubriendo LeBorêt,3 x 5ml,2,12/02/25,1,199,-29.85,0,169.15,0,169.15
Set Descubriendo LeBorêt,3 x 5ml,2,14/02/25,1,199,0,0,199,0,199
Sahara Eau de Parfum,100ml,1035,14/02/25,1,699,0,0,699,0,699
Sahara Eau de Parfum,100ml,1035,22/02/25,1,699,0,0,699,0,699
Tundra Eau de Parfum,100ml,10,22/02/25,1,699,0,0,699,0,699
Sahara Eau de Parfum,100ml,1035,23/02/25,1,699,-69.9,0,629.1,0,629.1
Set Descubriendo LeBorêt,3 x 5ml,2,25/02/25,1,199,-29.85,0,169.15,0,169.15
Tundra Eau de Parfum,100ml,10,03/03/25,1,699,-69.9,0,629.1,0,629.1
Tundra Eau de Parfum,100ml,10,10/03/25,1,699,-69.9,0,629.1,0,629.1
Set Descubriendo LeBorêt,3 x 5ml,2,11/03/25,1,199,0,0,199,0,199
Tundra Eau de Parfum,100ml,10,15/03/25,1,699,-104.85,0,594.15,0,594.15
Sahara Eau de Parfum,100ml,1035,15/03/25,1,699,-104.85,0,594.15,0,594.15
Tundra Eau de Parfum,100ml,10,17/03/25,1,699,0,0,699,0,699
Tundra Eau de Parfum,100ml,10,25/03/25,1,699,-104.85,0,594.15,0,594.15
Set Descubriendo LeBorêt,3 x 5ml,2,02/04/25,1,199,0,0,199,0,199
Tundra Eau de Parfum,100ml,10,03/04/25,1,699,-69.9,0,629.1,0,629.1
Sahara Eau de Parfum,100ml,1035,03/04/25,1,699,-69.9,0,629.1,0,629.1
Set Descubriendo LeBorêt,3 x 5ml,2,04/04/25,1,199,0,0,199,0,199
Manhattan Eau de Parfum,100ml,2002,06/04/25,1,699,0,0,699,0,699
Set LeBorêt No. 1,3 x 100ml,1,06/04/25,1,1599,0,0,1599,0,1599
Set LeBorêt No. 1,3 x 100ml,1,07/04/25,1,1599,-159.9,0,1439.1,0,1439.1
Set LeBorêt No. 1,3 x 100ml,1,08/04/25,1,1599,-239.85,0,1359.15,0,1359.15
Manhattan Eau de Parfum,100ml,2002,09/04/25,2,1398,-104.85,0,1293.15,0,1293.15
Manhattan Eau de Parfum,100ml,2002,10/04/25,1,699,-69.9,0,629.1,0,629.1
Manhattan Eau de Parfum,100ml,2002,11/04/25,2,1398,-209.7,0,1188.3,0,1188.3
Set LeBorêt No. 1,3 x 100ml,1,11/04/25,5,7995,-1039.35,0,6955.65,0,6955.65
Set LeBorêt No. 1,3 x 100ml,1,12/04/25,1,1599,-239.85,0,1359.15,0,1359.15
Manhattan Eau de Parfum,100ml,2002,12/04/25,2,1398,-209.7,0,1188.3,0,1188.3
Set LeBorêt No. 1,3 x 100ml,1,13/04/25,2,3198,-159.9,0,3038.1,0,3038.1
Set LeBorêt No. 1,3 x 100ml,1,14/04/25,6,9594,-1359.15,0,8234.85,0,8234.85
Manhattan Eau de Parfum,100ml,2002,14/04/25,1,699,-104.85,0,594.15,0,594.15
Tundra Eau de Parfum,100ml,10,14/04/25,1,699,0,0,699,0,699
Sahara Eau de Parfum,100ml,1035,15/04/25,1,699,-104.85,0,594.15,0,594.15
Manhattan Eau de Parfum,100ml,2002,15/04/25,1,699,-104.85,0,594.15,0,594.15
Set LeBorêt No. 1,3 x 100ml,1,15/04/25,5,7995,-639.6,0,7355.4,0,7355.4
Set LeBorêt No. 1,3 x 100ml,1,16/04/25,5,7995,-879.45,0,7115.55,0,7115.55
Manhattan Eau de Parfum,100ml,2002,16/04/25,1,699,0,0,699,0,699
Tundra Eau de Parfum,100ml,10,16/04/25,1,699,0,0,699,0,699
Set Descubriendo LeBorêt,3 x 5ml,2,16/04/25,1,199,-29.85,0,169.15,0,169.15
Set LeBorêt No. 1,3 x 100ml,1,17/04/25,3,4797,-719.55,0,4077.45,0,4077.45
Manhattan Eau de Parfum,100ml,2002,17/04/25,1,699,0,0,699,0,699
Set LeBorêt No. 1,3 x 100ml,1,18/04/25,4,6396,-879.45,0,5516.55,0,5516.55
Manhattan Eau de Parfum,100ml,2002,18/04/25,1,699,-69.9,0,629.1,0,629.1
Set LeBorêt No. 1,3 x 100ml,1,19/04/25,4,6396,-639.6,0,5756.4,0,5756.4
Manhattan Eau de Parfum,100ml,2002,19/04/25,1,699,0,0,699,0,699
Set LeBorêt No. 1,3 x 100ml,1,20/04/25,1,1599,-159.9,0,1439.1,0,1439.1
Set Descubriendo LeBorêt,3 x 5ml,2,20/04/25,1,199,-19.9,0,179.1,0,179.1
Manhattan Eau de Parfum,100ml,2002,20/04/25,1,699,-104.85,0,594.15,0,594.15
Manhattan Eau de Parfum,100ml,2002,21/04/25,2,1398,-69.9,0,1328.1,0,1328.1
Set LeBorêt No. 1,3 x 100ml,1,21/04/25,2,3198,-399.75,0,2798.25,0,2798.25
Manhattan Eau de Parfum,100ml,2002,22/04/25,1,699,-104.85,0,594.15,0,594.15
Set LeBorêt No. 1,3 x 100ml,1,22/04/25,5,7995,-879.45,0,7115.55,0,7115.55
Manhattan Eau de Parfum,100ml,2002,23/04/25,1,699,0,0,699,0,699
Set LeBorêt No. 1,3 x 100ml,1,23/04/25,4,6396,-639.6,0,5756.4,0,5756.4
Manhattan Eau de Parfum,100ml,2002,24/04/25,1,699,0,0,699,0,699
Set LeBorêt No. 1,3 x 100ml,1,24/04/25,1,1599,-239.85,0,1359.15,0,1359.15
Sahara Eau de Parfum,100ml,1035,25/04/25,1,699,-104.85,0,594.15,0,594.15
Set LeBorêt No. 1,3 x 100ml,1,25/04/25,7,11193,-1599,0,9594,0,9594
Set Descubriendo LeBorêt,3 x 5ml,2,26/04/25,2,398,-49.75,0,348.25,0,348.25
Set LeBorêt No. 1,3 x 100ml,1,26/04/25,2,3198,-479.7,0,2718.3,0,2718.3
Set Descubriendo LeBorêt,3 x 5ml,2,27/04/25,1,199,-29.85,0,169.15,0,169.15
Set LeBorêt No. 1,3 x 100ml,1,27/04/25,1,1599,-239.85,0,1359.15,0,1359.15
Tundra Eau de Parfum,100ml,10,28/04/25,1,699,-104.85,0,594.15,0,594.15
Set Descubriendo LeBorêt,3 x 5ml,2,28/04/25,1,199,-29.85,0,169.15,0,169.15
Manhattan Eau de Parfum,100ml,2002,28/04/25,2,1398,-209.7,0,1188.3,0,1188.3
Set LeBorêt No. 1,3 x 100ml,1,28/04/25,5,7995,-959.4,0,7035.6,0,7035.6
Manhattan Eau de Parfum,100ml,2002,29/04/25,1,699,-69.9,0,629.1,0,629.1
Set LeBorêt No. 1,3 x 100ml,1,29/04/25,2,3198,-479.7,0,2718.3,0,2718.3
Manhattan Eau de Parfum,100ml,2002,30/04/25,1,699,-69.9,0,629.1,0,629.1
Set LeBorêt No. 1,3 x 100ml,1,30/04/25,2,3198,-399.75,0,2798.25,0,2798.25
Set LeBorêt No. 1,3 x 100ml,1,01/05/25,5,7995,-1199.25,0,6795.75,0,6795.75
Set LeBorêt No. 1,3 x 100ml,1,02/05/25,1,1599,-159.9,0,1439.1,0,1439.1
Set Descubriendo LeBorêt,3 x 5ml,2,02/05/25,1,199,0,0,199,0,199
Set LeBorêt No. 1,3 x 100ml,1,03/05/25,2,3198,-399.75,0,2798.25,0,2798.25
Set LeBorêt No. 1,3 x 100ml,1,04/05/25,4,6396,-879.45,0,5516.55,0,5516.55
Set Descubriendo LeBorêt,3 x 5ml,2,04/05/25,1,199,0,0,199,0,199
Set LeBorêt No. 1,3 x 100ml,1,05/05/25,5,7995,-1039.35,0,6955.65,0,6955.65
Manhattan Eau de Parfum,100ml,2002,05/05/25,2,1398,-209.7,0,1188.3,0,1188.3
Tundra Eau de Parfum,100ml,10,05/05/25,1,699,-104.85,0,594.15,0,594.15
Set LeBorêt No. 1,3 x 100ml,1,06/05/25,4,6396,-639.6,0,5756.4,0,5756.4
Set Descubriendo LeBorêt,3 x 5ml,2,06/05/25,2,398,-29.85,0,368.15,0,368.15
Set LeBorêt No. 1,3 x 100ml,1,07/05/25,4,6396,-879.45,0,5516.55,0,5516.55
Sahara Eau de Parfum,100ml,1035,08/05/25,1,699,0,0,699,0,699
Set LeBorêt No. 1,3 x 100ml,1,08/05/25,4,7995,-879.45,-1359.15,5756.4,0,5756.4
Set LeBorêt No. 1,3 x 100ml,1,09/05/25,3,4797,-319.8,0,4477.2,0,4477.2
Set LeBorêt No. 1,3 x 100ml,1,10/05/25,7,11193,-559.65,0,10633.35,0,10633.35
Manhattan Eau de Parfum,100ml,2002,10/05/25,1,699,0,0,699,0,699
Set LeBorêt No. 1,3 x 100ml,1,11/05/25,3,4797,-159.9,0,4637.1,0,4637.1
Set Descubriendo LeBorêt,3 x 5ml,2,12/05/25,1,199,-29.85,0,169.15,0,169.15
Set LeBorêt No. 1,3 x 100ml,1,12/05/25,2,3198,-239.85,0,2958.15,0,2958.15
Set LeBorêt No. 1,3 x 100ml,1,13/05/25,1,1599,0,0,1599,0,1599
Set Descubriendo LeBorêt,3 x 5ml,2,14/05/25,1,199,0,0,199,0,199
Set LeBorêt No. 1,3 x 100ml,1,14/05/25,6,9594,-799.5,0,8794.5,0,8794.5
Manhattan Eau de Parfum,100ml,2002,15/05/25,3,2097,-104.85,0,1992.15,0,1992.15
Set LeBorêt No. 1,3 x 100ml,1,15/05/25,5,7995,-879.45,0,7115.55,0,7115.55
Set LeBorêt No. 1,3 x 100ml,1,16/05/25,4,6396,-799.5,0,5596.5,0,5596.5
Set LeBorêt No. 1,3 x 100ml,1,17/05/25,3,4797,-399.75,0,4397.25,0,4397.25
Manhattan Eau de Parfum,100ml,2002,17/05/25,1,699,0,0,699,0,699
Set LeBorêt No. 1,3 x 100ml,1,18/05/25,4,6396,-639.6,0,5756.4,0,5756.4
Manhattan Eau de Parfum,100ml,2002,18/05/25,2,1398,-69.9,0,1328.1,0,1328.1
Set LeBorêt No. 1,3 x 100ml,1,19/05/25,0,4797,-639.6,-4797,-639.6,0,-639.6
Set Descubriendo LeBorêt,3 x 5ml,2,19/05/25,1,199,0,0,199,0,199
Set LeBorêt No. 1,3 x 100ml,1,20/05/25,3,4797,-399.75,0,4397.25,0,4397.25
Set LeBorêt No. 1,3 x 100ml,1,22/05/25,1,1599,0,0,1599,0,1599
Set LeBorêt No. 1,3 x 100ml,1,23/05/25,1,1599,-239.85,0,1359.15,0,1359.15
Set Descubriendo LeBorêt,3 x 5ml,2,23/05/25,1,199,0,0,199,0,199
Set LeBorêt No. 1,3 x 100ml,1,25/05/25,5,7195,-479.7,0,6715.3,0,6715.3
Set LeBorêt No. 1,3 x 100ml,1,26/05/25,7,8393,0,0,8393,0,8393
Set LeBorêt No. 1,3 x 100ml,1,27/05/25,6,7194,0,0,7194,0,7194
Set LeBorêt No. 1,3 x 100ml,1,28/05/25,12,14388,0,0,14388,0,14388
Set LeBorêt No. 1,3 x 100ml,1,29/05/25,4,4796,0,0,4796,0,4796
Manhattan Eau de Parfum,100ml,2002,30/05/25,1,699,0,0,699,0,699
Set LeBorêt No. 1,3 x 100ml,1,30/05/25,7,8393,0,0,8393,0,8393
Set LeBorêt No. 1,3 x 100ml,1,31/05/25,7,8393,0,0,8393,0,8393
Set LeBorêt No. 1,3 x 100ml,1,01/06/25,13,15587,0,0,15587,0,15587
Manhattan Eau de Parfum,100ml,2002,02/06/25,1,699,0,0,699,0,699
Set LeBorêt No. 1,3 x 100ml,1,02/06/25,14,16786,0,0,16786,0,16786
Set LeBorêt No. 1,3 x 100ml,1,03/06/25,13,15587,0,0,15587,0,15587
Manhattan Eau de Parfum,100ml,2002,03/06/25,1,699,0,0,699,0,699
Set LeBorêt No. 1,3 x 100ml,1,04/06/25,1,1599,-239.85,0,1359.15,0,1359.15
Set LeBorêt No. 1,3 x 100ml,1,05/06/25,3,4797,-399.75,0,4397.25,0,4397.25
Set LeBorêt No. 1,3 x 100ml,1,06/06/25,1,1599,0,0,1599,0,1599
Tundra Eau de Parfum,100ml,10,06/06/25,1,699,-104.85,0,594.15,0,594.15
Set LeBorêt No. 1,3 x 100ml,1,09/06/25,1,1599,0,0,1599,0,1599